Origin,[Migration_Dim].[list].[Mig_Name].[Code],Dest,1960,1970,1980,1990,2000,gt1000
DZA,MAL,TUN,17731,8827,8076,8238,7863,true
DZA,MAL,GBR,4738,16933,1515,3438,23268,true
DZA,MAL,USA,160,245,2435,3645,7136,true
DZA,MAL,PSE,1797,2158,2564,3359,5177,true
ASM,TOT,WSM,1694,916,1281,1071,1920,true
ASM,TOT,USA,2519,11528,9604,1870,16339,true
ASM,FEM,USA,1158,6485,4874,932,7868,true
ASM,MAL,WSM,842,445,650,590,1063,true
ASM,MAL,USA,1362,5043,4729,938,8472,true
AND,TOT,ESP,1,2,3,0,2888,true
AND,FEM,ESP,0,0,2,0,1530,true
AND,MAL,ESP,0,0,1,0,1358,true
AGO,TOT,BWA,202,180,72,533,3857,true
AGO,TOT,BRA,2947,780,7001,4835,6331,true
AGO,TOT,CAN,79,449,835,917,2429,true
AGO,TOT,CPV,1,1,1,1902,2209,true
AGO,TOT,COG,840,1413,5526,9170,1693,true
AGO,TOT,FRA,7698,18448,141,245,12986,true
AGO,TOT,DEU,314,348,314,720,7231,true
AGO,TOT,ITA,253,387,1608,2584,1750,true
AGO,TOT,MWI,35,35,5448,5352,5258,true
AGO,TOT,MOZ,2,12,54,1200,5244,true
AGO,TOT,NAM,13238,21219,34012,54519,52200,true
AGO,TOT,NLD,6,1,1,0,6108,true
AGO,TOT,NGA,0,285,2944,1143,1916,true
AGO,TOT,PHL,41,36,171,677,2450,true
AGO,TOT,PRT,15415,40277,105233,139439,167578,true
AGO,TOT,ZAF,10612,7109,3414,5868,11882,true
AGO,TOT,ESP,0,0,0,2540,1955,true
AGO,TOT,CHE,225,62,286,230,4300,true
AGO,TOT,TZA,22,20,6,16,1102,true
AGO,TOT,THA,9,0,335,674,2313,true
AGO,TOT,GBR,883,3222,6480,484,33459,true
AGO,TOT,USA,141,316,1347,3194,8412,true
AGO,TOT,ZMB,42246,33853,27957,25172,22777,true
AGO,FEM,BWA,89,80,24,251,1640,true
AGO,FEM,BRA,1383,351,3378,2415,2795,true
AGO,FEM,CAN,37,217,405,434,1062,true
AGO,FEM,CPV,0,0,0,966,1122,true
AGO,FEM,FRA,3140,7541,65,116,6578,true
AGO,FEM,DEU,106,129,92,233,2528,true
AGO,FEM,MWI,19,19,2994,2945,2898,true
AGO,FEM,MOZ,1,5,22,549,2379,true
AGO,FEM,NAM,4231,7391,12917,22588,21871,true
AGO,FEM,NLD,3,0,0,0,2311,true
AGO,FEM,PHL,20,23,68,316,1266,true
AGO,FEM,PRT,9068,22464,55643,73423,87546,true
AGO,FEM,ZAF,257,838,1459,2353,4574,true
