Origin,[Migration_Dim].[list].[Mig_Name].[Code],Dest,1960,1970,1980,1990,2000,gt50000
GEO,TOT,UKR,0,47711,53300,79571,71015,true
GEO,FEM,ISR,4728,5760,10678,25944,51548,true
GEO,FEM,RUS,0,118222,153251,224010,333056,true
GEO,MAL,RUS,0,105039,136162,199030,295917,true
DEU,TOT,AUS,104693,125685,106805,108810,107208,true
DEU,TOT,AUT,435151,189405,103062,88810,101883,true
DEU,TOT,CAN,183947,188574,196989,218650,185745,true
DEU,TOT,FRA,154139,221523,201292,210539,260042,true
DEU,TOT,ITA,57978,100320,79772,93119,55821,true
DEU,TOT,NLD,128602,48321,66783,128144,115574,true
DEU,TOT,POL,5512,4746,34792,64706,108175,true
DEU,TOT,SCG,21375,21724,38897,27627,102251,true
DEU,TOT,ESP,24142,40722,69755,89377,109454,true
DEU,TOT,CHE,5331,119736,5464,91691,117410,true
DEU,TOT,TUR,4416,56413,86842,174757,272995,true
DEU,TOT,GBR,147308,167846,185374,218592,338110,true
DEU,TOT,USA,1035269,987519,1204599,1227752,1250815,true
DEU,FEM,AUS,53877,62054,54125,55163,55173,true
DEU,FEM,AUT,262194,113368,62913,55369,57529,true
DEU,FEM,CAN,88113,92549,99556,123142,107853,true
DEU,FEM,FRA,73631,121136,115287,123810,131715,true
DEU,FEM,NLD,84980,23356,36382,79422,69039,true
DEU,FEM,POL,2961,2546,22210,40660,62114,true
DEU,FEM,SCG,12786,13272,24270,13587,53078,true
DEU,FEM,ESP,12523,21057,36166,46896,56978,true
DEU,FEM,CHE,3171,72913,3053,51956,57853,true
DEU,FEM,TUR,2042,28056,42923,87172,140202,true
DEU,FEM,GBR,95739,103896,112199,129431,195845,true
DEU,FEM,USA,572383,503854,698749,715623,724160,true
DEU,MAL,AUS,50817,63631,52681,53647,52035,true
DEU,MAL,CAN,95834,96025,97433,95508,77892,true
DEU,MAL,FRA,80508,100387,86005,86729,128326,true
DEU,MAL,ESP,11620,19665,33590,42480,52476,true
DEU,MAL,CHE,2160,46823,2411,39735,59557,true
DEU,MAL,TUR,2374,28357,43919,87584,132793,true
DEU,MAL,GBR,51568,63950,73175,89161,142264,true
DEU,MAL,USA,462886,483665,505850,512129,526655,true
GHA,TOT,CIV,24664,38132,48900,92754,75072,true
GHA,TOT,NGA,7017,21843,198295,73458,123169,true
GHA,TOT,USA,1049,2496,9872,23957,68432,true
GHA,MAL,NGA,4026,14145,127830,46196,75341,true
GRC,TOT,ALB,44331,48994,54147,59843,67508,true
GRC,TOT,AUS,74219,161937,141392,132072,115342,true
GRC,TOT,CAN,36975,62034,88854,98124,74725,true
GRC,TOT,DEU,46203,307898,303378,258077,367554,true
GRC,TOT,TUR,260136,190123,112911,100565,59749,true
GRC,TOT,USA,166588,209976,229757,195173,179950,true
GRC,FEM,AUS,34061,77611,68768,64272,57022,true
GRC,FEM,DEU,12267,136219,140467,120198,165559,true
GRC,FEM,USA,63311,106730,107646,91666,83921,true
GRC,MAL,AUS,40158,84326,72624,67800,58320,true
GRC,MAL,DEU,33936,171680,162911,137879,201994,true
GRC,MAL,USA,103277,103246,122111,103507,96029,true
GLP,TOT,FRA,34707,3470,86781,924,208276,true
GLP,FEM,FRA,15207,1684,44094,506,107836,true
GLP,MAL,FRA,19500,1786,42687,418,100440,true
GTM,TOT,USA,6073,20482,72214,242451,489507,true
GTM,FEM,USA,3379,11491,39183,118772,219430,true
GTM,MAL,USA,2694,8991,33031,123679,270077,true
GIN,TOT,CIV,51728,79972,102556,124852,129807,true
GIN,TOT,SEN,59416,38258,40359,75267,74213,true
GIN,TOT,SLE,35249,57826,71399,70279,58908,true
GIN,FEM,CIV,21759,33640,44498,57079,57373,true
GIN,MAL,CIV,29969,46332,58058,67773,72434,true
GUY,TOT,CAN,2467,3129,3867,58588,82057,true
GUY,TOT,USA,268,2997,57637,129959,219060,true
GUY,FEM,USA,139,1681,31247,68053,116053,true
GUY,MAL,USA,130,1316,26390,61907,103007,true
HTI,TOT,CAN,307,3283,6390,36837,52606,true
HTI,TOT,DOM,95525,127170,152301,186181,228274,true
HTI,TOT,USA,5545,34977,104863,240037,435259,true
HTI,FEM,DOM,20098,38170,48823,63284,81954,true
HTI,FEM,USA,2959,18567,54653,120288,229101,true
HTI,MAL,DOM,75427,89001,103478,122897,146319,true
HTI,MAL,USA,2587,16410,50211,119749,206158,true
HND,TOT,USA,7028,22561,42722,119088,288779,true
HND,FEM,USA,3714,11640,24954,66763,145146,true
HND,MAL,USA,3314,10922,17768,52325,143633,true
HKG,TOT,AUS,3384,4850,15156,55895,66151,true
HKG,TOT,CAN,2435,32055,62949,89251,234201,true
HKG,TOT,GBR,12508,30576,60318,75601,143805,true
HKG,TOT,USA,4766,3752,87572,159451,207845,true
HKG,FEM,CAN,1150,15710,31008,43899,121069,true
HKG,FEM,GBR,5079,13014,27887,36514,78137,true
HKG,FEM,USA,1892,1825,44039,81551,106951,true
HKG,MAL,CAN,1286,16345,31941,45353,113132,true
HKG,MAL,GBR,7428,17562,32431,39087,65668,true
HKG,MAL,USA,2874,1927,43533,77901,100895,true
HUN,TOT,DEU,66670,80920,80675,61085,71830,true
HUN,TOT,USA,256017,216934,156495,117943,93543,true
IND,TOT,AUS,13527,18165,40170,59297,94110,true
IND,TOT,BGD,637854,704574,779720,854364,936151,true
IND,TOT,CAN,8781,45737,84397,149951,313999,true
IND,TOT,FRA,80752,8074,15718,23455,136233,true
IND,TOT,HKG,70,6439,1304,3096,58685,true
IND,TOT,KWT,4082,21896,59060,106856,100904,true
IND,TOT,MYS,12196,150723,98724,32931,67701,true
IND,TOT,NPL,324670,322152,229585,407123,563571,true
IND,TOT,OMN,21845,31427,73080,211955,312053,true
IND,TOT,PAK,6293916,4858023,3899706,3130431,2512906,true
IND,TOT,QAT,116,1696,16667,33750,52788,true
IND,TOT,SAU,12449,70109,357516,931457,1007649,true
IND,TOT,SGP,66510,50875,42266,43696,105187,true
IND,TOT,LKA,999333,1080645,644956,447083,384789,true
IND,TOT,ARE,721,21584,235611,437179,751142,true
IND,TOT,GBR,190722,336567,401255,429885,524796,true
IND,TOT,USA,13910,69997,227684,494290,1041320,true
IND,FEM,BGD,295599,326650,226332,118429,129791,true
IND,FEM,CAN,3779,22178,41574,64890,145504,true
IND,FEM,FRA,38575,3919,7211,10838,69004,true
IND,FEM,NPL,208455,207069,160954,292648,399609,true
IND,FEM,PAK,2923092,2295006,1802811,1420156,1138971,true
IND,FEM,SAU,2864,14645,67827,160526,201950,true
IND,FEM,LKA,465760,520974,321495,222860,191807,true
IND,FEM,ARE,120,4191,63069,157721,230372,true
IND,FEM,GBR,88327,154831,197399,220994,266644,true
IND,FEM,USA,5150,34022,102686,223537,480076,true
IND,MAL,BGD,342256,377924,553388,735935,806361,true
IND,MAL,CAN,5002,23560,42824,85061,168496,true
IND,MAL,FRA,42177,4155,8507,12617,67229,true
IND,MAL,KWT,2768,13657,33146,85099,84709,true
IND,MAL,NPL,116216,115083,68631,114476,163962,true
IND,MAL,OMN,18438,26547,61779,179318,264336,true
IND,MAL,PAK,3370824,2563017,2096894,1710275,1373935,true
IND,MAL,SAU,9585,55464,289689,770932,805699,true
IND,MAL,SGP,56217,39894,31589,28815,57245,true
IND,MAL,LKA,533573,559671,323461,224223,192982,true
IND,MAL,ARE,601,17393,172542,279458,520770,true
IND,MAL,GBR,102395,181736,203856,208891,258152,true
IND,MAL,USA,8760,35975,124998,270753,561244,true
IDN,TOT,MYS,5398,56436,125723,407154,885328,true
IDN,TOT,NLD,202339,73984,99421,185323,155137,true
IDN,TOT,SAU,3541,19941,101686,264929,286600,true
IDN,TOT,SGP,25945,26946,27026,37770,70008,true
IDN,TOT,TWN,0,0,0,2134,74302,true
IDN,TOT,USA,1793,1420,33144,52665,79796,true
IDN,FEM,MYS,2192,23201,47806,148191,395961,true
IDN,FEM,NLD,108323,27303,43880,98542,84987,true
IDN,FEM,SAU,3366,18836,95380,246595,269928,true
IDN,FEM,TWN,0,0,0,1055,61356,true
IDN,MAL,MYS,3206,33235,77917,258963,489367,true
IDN,MAL,NLD,94017,46681,55540,86781,70150,true
IRN,TOT,CAN,759,9990,19618,16084,72987,true
IRN,TOT,DEU,7246,13586,35952,66008,108486,true
IRN,TOT,ISR,44782,53211,59753,53077,58326,true
IRN,TOT,SWE,113,403,3337,37842,50537,true
IRN,TOT,ARE,74,2210,24124,44762,76907,true
IRN,TOT,GBR,4640,577,28735,33236,72672,true
IRN,TOT,USA,7294,5761,134447,229109,294355,true
IRN,FEM,USA,2893,2801,50628,96592,135274,true
IRN,MAL,DEU,5666,9617,25220,42386,64070,true
IRN,MAL,ARE,69,2032,21296,37148,66262,true
IRN,MAL,USA,4401,2960,83819,132517,159081,true
IRQ,TOT,IRN,4702,8361,31630,75759,169650,true
IRQ,TOT,ISR,96253,114371,105136,86214,85613,true
IRQ,TOT,KWT,25437,46741,82910,168625,159233,true
IRQ,TOT,USA,1786,1420,33152,47753,93991,true
IRQ,TOT,YEM,24197,29957,37087,45914,53675,true
IRQ,FEM,IRN,2591,4353,15623,35770,70589,true
IRQ,FEM,KWT,8360,18447,31087,83714,67575,true
IRQ,MAL,IRN,2111,4008,16007,39988,99062,true
IRQ,MAL,KWT,17076,28294,51824,84911,91659,true
IRQ,MAL,USA,1079,730,18677,27274,52123,true
IRL,TOT,FRA,107311,37980,2221,4140,181039,true
IRL,TOT,GBR,892,717774,621804,599823,636751,true
IRL,TOT,USA,353621,297642,216471,186124,163136,true
IRL,FEM,FRA,51261,18273,1681,2647,91699,true
IRL,FEM,GBR,534,375218,330154,321550,358588,true
IRL,FEM,USA,211699,151290,134933,109787,89174,true
IRL,MAL,FRA,56049,19708,541,1494,89340,true
IRL,MAL,GBR,358,342555,291650,278273,278163,true
IRL,MAL,USA,141922,146351,81538,76336,73962,true
ISR,TOT,USA,18761,46174,75666,100555,125896,true
ISR,TOT,PSE,167080,199203,235848,310350,479728,true
ISR,FEM,USA,8472,22446,33755,44852,57271,true
ISR,FEM,PSE,86282,102077,120410,159175,246872,true
ISR,MAL,USA,10289,23728,41912,55703,68625,true
ISR,MAL,PSE,80798,97126,115438,151176,232857,true
ITA,TOT,ARG,927303,687552,487003,363907,224155,true
ITA,TOT,AUS,218698,309003,266038,246309,216676,true
ITA,TOT,BEL,196020,254545,288899,241481,203181,true
ITA,TOT,BRA,210731,149710,108052,69613,54958,true
ITA,TOT,CAN,250997,314957,386475,423097,310213,true
ITA,TOT,FRA,140448,840941,594387,520281,236943,true
ITA,TOT,DEU,216562,540065,611115,506864,629291,true
ITA,TOT,CHE,442123,590957,486056,414031,336726,true
ITA,TOT,GBR,100455,115935,100220,92402,125396,true
ITA,TOT,USA,1312537,1193985,923820,667394,547833,true
ITA,TOT,VEN,112079,85043,72610,65763,50049,true
ITA,FEM,ARG,407123,312464,234723,187838,117820,true
ITA,FEM,AUS,97342,137636,114967,114132,102761,true
ITA,FEM,BEL,87131,115110,130211,107737,91361,true
ITA,FEM,CAN,111551,144248,181583,209391,158410,true
ITA,FEM,FRA,67091,401794,290605,263483,120016,true
ITA,FEM,DEU,34918,186527,235929,201368,254654,true
ITA,FEM,CHE,215091,291305,247659,192389,153144,true
ITA,FEM,GBR,55823,60336,51156,46477,63581,true
ITA,FEM,USA,599174,513507,472399,343877,279087,true
ITA,MAL,ARG,520180,375088,252280,176069,106336,true
ITA,MAL,AUS,121356,171366,151071,132177,113915,true
ITA,MAL,BEL,108889,139435,158688,133744,111819,true
ITA,MAL,CAN,139447,170709,204892,213707,151803,true
ITA,MAL,FRA,73357,439147,303782,256798,116928,true
ITA,MAL,DEU,181644,353538,375187,305496,374637,true
ITA,MAL,CHE,227032,299653,238397,221643,183582,true
ITA,MAL,GBR,44633,55599,49064,45925,61816,true
ITA,MAL,USA,713363,680478,451421,323517,268746,true
JAM,TOT,CAN,499,5345,10400,101004,118874,true
JAM,TOT,GBR,116203,148203,168068,144441,152843,true
JAM,TOT,USA,26710,83570,221818,363387,575845,true
JAM,FEM,CAN,264,2866,5599,53651,66645,true
JAM,FEM,GBR,52638,74095,84937,74731,82513,true
JAM,FEM,USA,11362,45852,123590,200103,321495,true
JAM,MAL,CAN,236,2479,4801,47353,52228,true
JAM,MAL,GBR,63565,74109,83131,69710,70330,true
JAM,MAL,USA,15348,37718,98228,163284,254349,true
