Origin,[Migration_Dim].[list].[Mig_Name].[Code],Dest,1960,1970,1980,1990,2000
PAK,TOT,GBR,36635,143669,192672,243379,350867
PAK,TOT,USA,1970,8798,35058,92839,234081
PAN,TOT,USA,13957,23657,92341,129412,146882
PRY,TOT,ARG,157030,205465,265190,261080,331688
PER,TOT,USA,7756,29305,67507,162190,285925
PHL,TOT,AUS,411,1135,14880,71010,102420
PHL,TOT,CAN,2423,31892,62629,94814,233010
PHL,TOT,JPN,455,7521,16641,44533,121274
PHL,TOT,MYS,418,14889,48372,168737,175740
PHL,TOT,SAU,4569,25733,131223,341884,369850
PHL,TOT,USA,111801,246767,590421,1059379,1505820
POL,TOT,BLR,538881,382600,403169,417720,291909
POL,TOT,CAN,166767,155413,146847,180870,177013
POL,TOT,FRA,474428,280117,163788,139231,800387
POL,TOT,DEU,2226485,2325732,2338469,1790828,1999975
POL,TOT,RUS,118422,107084,99733,94594,442389
POL,TOT,UKR,363297,295107,258309,219179,214578
POL,TOT,GBR,146451,120478,95661,75006,207480
POL,TOT,USA,780612,648999,454279,421431,490599
PRT,TOT,BRA,486914,429297,389006,273088,212917
PRT,TOT,CAN,14097,72928,134473,161005,151562
PRT,TOT,FRA,83587,306809,633769,609339,141016
PRT,TOT,DEU,9535,53044,109623,72350,138240
PRT,TOT,CHE,10845,3962,27261,93373,148832
PRT,TOT,USA,84417,142208,229168,235097,212370
PRI,TOT,USA,657479,941566,1106839,1437657,1455095
ROM,TOT,FRA,73476,26556,13143,15725,123957
ROM,TOT,DEU,43692,46324,74251,1144848,324085
ROM,TOT,HUN,48848,174498,160423,139690,133077
ROM,TOT,ISR,175882,208990,193905,151154,139278
ROM,TOT,ITA,3917,3733,3886,38031,119123
ROM,TOT,USA,88406,83757,69349,101256,140085
RUS,TOT,AZE,185297,189506,175676,161999,106281
RUS,TOT,BLR,386328,552048,664763,786672,549738
RUS,TOT,EST,151993,211716,258636,300430,190599
RUS,TOT,FRA,129036,47074,20129,22391,217690
RUS,TOT,GEO,225876,219678,208442,191274,119977
RUS,TOT,DEU,286209,297315,299809,936128,978793
RUS,TOT,ISR,60594,72000,117851,233339,420072
RUS,TOT,KAZ,1525680,2143604,2329099,2450213,1931909
RUS,TOT,KGZ,231051,320559,343356,348471,167792
RUS,TOT,LVA,236232,299127,348740,384423,238521
RUS,TOT,MDA,129600,183361,223748,248674,203909
RUS,TOT,TJK,156970,207267,237535,234030,176029
RUS,TOT,TKM,133516,165032,180021,175788,128858
RUS,TOT,UKR,3233837,4182267,4803152,5211922,3613240
RUS,TOT,UZB,540184,755132,854737,915978,746535
SCG,TOT,AUT,20913,113323,528,126541,187588
SCG,TOT,DEU,64476,299210,430759,376610,710269
SCG,TOT,CHE,8861,15111,45303,90415,223145
SCG,TOT,TUR,191101,159669,114884,138955,112537
SVK,TOT,CZE,21755,24044,26573,187831,287874
SVK,TOT,DEU,194210,209061,199219,104232,118829
SOM,TOT,ETH,92237,87739,92238,96967,101938
ZAF,TOT,MOZ,523,363,1315,35916,159113
ZAF,TOT,GBR,46296,48980,55516,77458,143298
ESP,TOT,ARG,753707,547743,373063,252380,137084
ESP,TOT,FRA,89841,736748,489332,429029,151566
ESP,TOT,DEU,52278,244214,176968,131604,133635
ESP,TOT,USA,47232,68175,97039,110958,119977
LKA,TOT,IND,30652,40358,236125,273679,185572
LKA,TOT,SAU,1371,7723,39383,102608,111001
SDN,TOT,SAU,2457,13838,70566,183849,198887
SDN,TOT,UGA,55329,55230,68309,89753,149360
SUR,TOT,NLD,4,20342,56301,162265,178273
SYR,TOT,KWT,2105,32500,75353,107628,101634
SYR,TOT,SAU,1300,7324,37349,97307,105266
TWN,TOT,USA,4914,3743,87355,271828,337316
TJK,TOT,RUS,0,0,71907,153806,383057
THA,TOT,KHM,161712,136285,1768,16276,100363
THA,TOT,TWN,0,0,0,4120,143484
THA,TOT,USA,3672,2886,67362,127144,186520
TTO,TOT,USA,42888,25338,75872,126874,207679
TUN,TOT,FRA,184315,287917,354171,365219,310949
TUR,TOT,AUT,7923,32618,151624,183825,179638
TUR,TOT,DEU,26986,442229,1653805,1460465,2008979
TUR,TOT,NLD,11,18665,51658,148878,176306
TKM,TOT,RUS,203702,70879,81273,140551,175252
UGA,TOT,KEN,28535,33323,39950,46795,351083
UKR,TOT,BLR,122548,175761,212735,268015,187293
UKR,TOT,KAZ,419850,515091,507057,510702,402671
UKR,TOT,MDA,186092,224007,247940,266585,218596
UKR,TOT,POL,1177694,1014094,730271,508018,331462
UKR,TOT,RUS,3500317,3486564,3811434,4595811,3559975
UKR,TOT,USA,381955,293268,190645,146724,444101
UKR,TOT,UZB,0,140753,148398,199096,162266
GBR,TOT,AUS,724397,1041138,1092182,1076261,1026553
GBR,TOT,CAN,941217,903698,883022,914883,606723
GBR,TOT,FRA,59652,21828,42545,62630,100636
GBR,TOT,DEU,12501,29675,92204,81910,117124
GBR,TOT,IRL,54693,104694,179606,180936,227440
GBR,TOT,NZL,217720,248101,265055,272190,221729
GBR,TOT,ZAF,127568,170900,213123,154620,126343
GBR,TOT,USA,870668,812912,797768,809113,833858
USA,TOT,CAN,276126,291996,313920,325306,270708
USA,TOT,DEU,17115,49707,90487,76471,114932
USA,TOT,MEX,99121,98764,160890,201431,350626
USA,TOT,PRI,55207,162837,233924,233011,243628
USA,TOT,GBR,119195,139813,120940,145459,165086
URY,TOT,ARG,56568,83443,114876,138094,119169
UZB,TOT,ISR,12271,14581,24682,56552,106193
UZB,TOT,KAZ,57380,90896,152934,139498,109989
UZB,TOT,RUS,0,257135,302213,529814,918037
UZB,TOT,UKR,0,59756,71220,137095,242390
VEN,TOT,USA,7287,14645,41821,54323,118195
VNM,TOT,AUS,947,1579,39630,118469,152582
VNM,TOT,KHM,196744,165809,2151,19802,122104
VNM,TOT,CAN,1522,20030,39334,95419,146343
VNM,TOT,USA,14419,11234,262190,583889,1028454
PSE,TOT,JOR,48,6799,27169,63444,104718
PSE,TOT,SYR,112765,3426,246564,348765,458611
YEM,TOT,SAU,4300,24217,123492,321742,348060
ZWE,TOT,ZAF,26957,50720,74455,145958,129558
